nr,name,BPM,key,genre
1,alleswirdgut - Brutalismus 3000,150,4A,Techno
2, Drugs From Amsterdam - Mau P,125,2A,Techno
3, eat horsegiirL,180,7A,Techno
4, Hot&perfecT - Six Sex,156,1A,Techno
5, Babushka - Indecorum,150,11A,Techno
6, La Batteria - DJ Gigola,150,1A,Techno
7, Fred again.. - Danielle (Smile on My Face),130,7B,Dance
8, Barry Can’t Swim - Can We Still Be Friends (with Laurence Guy),128, 7A,Dance
9, Swimming Paul - Fading,128,11A,Dance
10,Jorja Smith - Little Things x Gypsy Woman,127,1A,Dance
11, METTE - MAMA-'S EYES,122,12A,Dance
12, Odd Mob - Been Dreaming,132,6B,Dance
13, Baltra - Wabi-Sabi,160,8A,Dance
14, 7 lr 8,140,5B,Pop
15, Dancing on My Own,117,2B,Pop
16, Lay All Your Love On Me,133,7A,Pop
17, Love On The Brain,86,8A,Pop
18, Water,117,2A,Pop
19, Mikrofonkåt,130,6A,Pop
20, Valkommen in,120,8B,Pop
